n1	t	n2
actif Adj I	Anti	inactif I
actif Adj I	Adv_0	activement
actif Adj I	S_1^usualPred	actif N I.1
actif Adj I	S_1^usualPred	active I.1
actif Adj I	Syn_∩	sur les dents
action I.1	Syn_∩	acte I
activité III	Syn_∩	sport N II
actualité 1	Anti_∩	passé N I
adapter	Able_2	adaptable
adapter	S_0	adaptation
adapter	Syn_∩	ajuster I
additionner	Anti	soustraire I
additionner	S_0	addition I.1
additionner	S_4	somme N, fém 1
adieu 1	Syn_⊂	au revoir 1
admettre I.1	S_0	admission I.1
admettre I.1	A_2Perf	admis
admettre I.1	Syn_∩	accueillir II.1
administrer 2 I	S_0	administration 2
administrer 2 I	Able_2	administrable 2
administrer 2 I	S_1	administrateur 2
admirer I	S_0	admiration
admirer I	S_1	admiratrice
admirer I	S_1	admirateur
admirer I	A_1	admiratif
admirer I	Able_3	admirable
adolescent N	A_1	adolescent Adj 1
adolescent N	Syn_⊃^sex	adolescente
adolescent N	Syn_⊃^sex	ado N, fém
adolescent N	A_0	adolescent Adj 2
adolescent N	Syn	ado N, masc
adopter I	S_0	adoption I
adopter I	Able_2	adoptable 1
adopter I	A_1	adoptant Adj
adopter I	S_1	adoptant N
adopter I	S_1	adoptante
adopter I	S_2Perf	adopté N
adopter I	S_2Perf	adoptée
adopter I	A_1Perf	adoptif 1
adopter I	A_2Perf	adoptif 2
adorable 1	Anti_∩	détestable 1
adorer I	S_0	adoration I
adorer I	A_2Manif	adoratif
adorer I	S_1	adorateur I
adorer I	S_1	adoratrice I
adresse 1 I	Syn_⊃	coordonnées II
adresser 2	Syn_∩	envoyer I.2
adroit II	Anti	maladroit Adj II
adroit II	Adv_0	adroitement II
adroit II	Syn_∩	habile II
adulte Adj I	S_1Pred	adulte N, masc
adulte Adj I	S_1Pred	adulte N, fém
adulte Adj I	Syn_∩	grand Adj II
adversaire N, masc I	A_0	adverse
adversaire N, masc I	Syn_⊃^sex	adversaire N, fém I
adversaire N, masc I	Syn_∩	ennemi N I
adversité	A_0	adverse
aéroport	A_0	aéroportuaire
aéroport	Syn_∩	aérodrome
aéroport	S_2	avion I
affaiblir I	Conv_21	s’affaiblir
affaiblir I	A_1	affaiblissant
affaiblir I	S_res	faiblesse I
affaiblir I	A_2Perf	affaibli
affaiblir I	Syn_∩	fragiliser
affaire I.1	Syn_∩	histoire IV
affection I	V_0	affectionner I
affection I	A_1	affectueux
affection I	Adv_1	avec I.3a
affection I	Adv_1	affectueusement
affiche	AntiMagn	affichette
affiche	Real_1	afficher I
afficher I	S_0	affichage
afficher I	S_1^usual	afficheuse
afficher I	S_1^usual	afficheur
afficher I	A_2Perf	affiché
afficher I	S_2	affiche
affirmer	S_0	affirmation
affirmer	S_1	affirmateur
affirmer	A_1	affirmatif I
affirmer	Syn_∩	assurer I
affirmer	Syn_∩	garantir II
affirmer	Magn	sur l’honneur 1
affoler	A_2Perf	affolé
affoler	A_1	affolant
affoler	Conv_21	s’affoler
affoler	Syn_∩	apeurer
affoler	Syn_∩	effrayer 1
affreux I.2	Syn_⊂	moche Adj
affreux I.2	Syn_∩	hideux
affront	Syn_∩	injure 2
affronter I	S_0	affrontement
agacer	A_2	agacé
agacer	Able_3	agaçant
agacer	Conv_21	s’agacer
agacer	S_0Conv_21	agacement
agacer	Syn_∩	énerver a
agacer	Syn_∩	casser les pieds
agacer	Syn_∩	courir sur le haricot
agacer	Syn_∩	échauffer les oreilles
agacer	Syn_⊃	casser les oreilles II
âge I.a	A_1	âgé 1
âge I.a	Magn	âgé 2
âgé 1	Syn_∩	vieux Adj I.1b
agent II	Contr	patient N II
aggraver	A_1	aggravant
aggraver	S_0	aggravation 2
agile	S_0Pred	agilité
agile	Adv_0	agilement
agir I	A_1	agissant
agiter I	Syn_∩	secouer I.1
agneau I.1	Syn_⊃^sex	agnelle
agneau I.1	S_1^usual	éleveur
agneau I.1	S_1^usual	éleveuse
agréable 1	Anti	désagréable I
agréable 1	Adv_0	agréablement
agresser	S_1	agresseur
agresser	S_1	agresseuse
agresser	S_2	agressé N
agresser	S_2	agressée
agresser	A_2	agressé Adj
agresser	Able_1	agressif
agresser	S_0	agression
agriculture	A_0	agricole
agriculture	S_1	agriculteur
agriculture	S_1	agricultrice
Ah !	Syn_∩	Oh !
Ah !	Syn_∩	là III.2
aide N, fém I.1	V_0	aider
aide N, fém I.1	S_1^usual	aide N, fém II
aide N, fém I.1	S_1^usual	aide N, masc
aider	S_0	aide N, fém I.1
aider	A_2Perf	aidé
aider	S_1^usual	aide N, masc
aider	S_1^usual	aide N, fém II
aigu	Syn_⊃	strident
aigu	Anti_∩	grave II
aiguille I.1	S_1^prototyp	couturier a
aiguille I.1	S_1^prototyp	couturière
aiguille I.1	Syn_∩	épingle
ail II	S_1^usual	cultivateur
ail II	S_1^usual	cultivatrice
aile I.1a	A_0	alaire
aile I.1a	Real_1	battre 1 I.3a
aile I.1a	Real_1	voler 1 I.1
aile I.1a	Real_1	planer 1 I.1
aile I.1a	PreparReal_1	déployer
ailleurs 1	Syn_∩	autre part 1
ailleurs 1	Syn_∩	quelque part I.1
ailleurs 1	Syn_∩	partout I
ailleurs 1	Syn_∩	ici I.a
ailleurs 1	Syn_∩	là I.1b
ailleurs 1	Syn_∩	là-bas
ailleurs 1	Syn_∩	loin I
ailleurs 1	Syn_∩	près I.1
ailleurs 1	Syn_∩	y 1
ailleurs 1	Contr	ici I.a
ailleurs 1	Contr	là I.1a
ailleurs 1	Anti_⊂	nulle part I.1
aimable	S_0Pred	amabilité
aimable	Adv_0	aimablement
aimable	Syn_∩	gentil Adj
aimer I.1	S_0	amour I.1a
aimer I.1	A_1	amoureux Adj I.1
aimer I.1	Adv_1	amoureusement
aimer I.1	S_1	amoureux N I
aimer I.1	S_1	amoureuse I
aimer I.1	S_res	sexe II.2
aimer I.1	Redun	d’amour I
aimer I.1	Redun	physiquement 2
aîné Adj	Conv_21	cadet Adj
aîné Adj	S_0	aînesse
aîné Adj	S_1Pred	aîné N
aîné Adj	S_1Pred	aînée
aîné Adj	S_2	cadette
aîné Adj	S_2	puînée
aîné Adj	S_2	puîné N
aîné Adj	S_2	cadet N
air 1 I	A_0	aérien 1
air 1 I	Bon	frais Adj II
air 1 I	Bon	pur Adj I.1
aire I	Syn	surface I.2
aire I	Syn	superficie
aisance I	Syn_∩	aise
aisance I	Syn_∩	facilité
ajouter II	S_0	ajout II
ajuster I	S_0	ajustement
ajuster I	Syn_∩	adapter
ajuster I	Syn_∩	arranger I.b
ajuster I	Able_2	ajustable
alarme I	Syn_⊂	signal
album	Syn_∩	recueil
alcool I.2	Syn_⊂	alcool I.1
alcoolique N, masc	Syn_⊃^sex	alcoolique N, fém
alcoolique N, masc	Syn_⊃^sex	alcoolo N, fém
alcoolique N, masc	Fact_0	boire V I.2b
alcoolique N, masc	Syn_∩	ivrogne N, masc
alcoolique N, masc	Syn_∩	boit-sans-soif N, masc
alcoolique N, masc	Syn_∩	meurt-de-soif
alcoolique N, masc	Syn_∩	pochard
alcoolique N, masc	Syn_∩	pochetron
alcoolique N, masc	Syn_∩	poivrot
alcoolique N, masc	Syn_∩	sac à vin
alcoolique N, masc	Syn_∩	soiffard
alcoolique N, masc	Syn_∩	saoulard
alcoolique N, masc	Magn^temp	invétéré
alcoolique N, masc	Magn^temp	chronique II
alcoolique N, masc	Syn	alcoolo N, masc
alerte I	Syn_∩	alarme I
alerte I	Syn_∩	signal
alerter I	Syn_∩	alarmer
algue	Gener	plante 1
algue	S_loc	mer I.1
algue	S_loc	mer I.2
algue	S_loc	étendue d’eau
aliment I	Syn_∩	alimentation II
alimentation I	V_0	alimenter I
alimentation I	A_0	alimentaire
aller N I	Anti	retour I
aller V I.1a	Syn_∩	se rendre II
aller V I.1a	Syn_∩	se déplacer I.2b
aller V I.1a	Syn_∩	pousser VI
aller V I.1a	SingS_0	aller N I
allergie I	A_0	allergique I.1
allergie I	A_1	allergique I.2
allergie I	Able_2	allergène
allergie I	Able_2	allergisant
allergie I	Oper_12	souffrir 2
allumer I	S_0	allumage
allumer I	A_2Perf	allumé I
allumer I	Anti	éteindre I
allumette I.1	Cf	briquet
allusion	A_1	allusif
allusion	Adv_0	allusivement
alors I	Syn	lors
alphabet	A_0	alphabétique
alphabet	Adv_0	alphabétiquement
alphabet	Sing	lettre I
altitude	Syn_∩	hauteur I
amande	S_loc	amandier
amande	Gener	fruit I.2
amateur N	Syn_⊃^sex	amatrice
amateur N	A_1	amateur Adj I
amateur N	Syn_∩	amoureux N II
amateur N	Syn_∩	père III.2
ambiance	Syn_∩	atmosphère II
ambiance	CausFunc_1	mettre III
ambigu 2	S_0Pred	ambiguïté 2
ambition	S_1	ambitieuse
ambition	S_1	ambitieux N
ambition	A_1	ambitieux Adj I
ambulance	S_1^usual	ambulancière
ambulance	S_1^usual	ambulancier
âme I	Contr	corps I.1b
âme I	Syn_∩	esprit I.1
âme I	Syn_∩	cœur III.1
améliorer	S_0	amélioration 2
améliorer	S_3	amélioration 3
améliorer	Able_2	améliorable
amener I	Syn_∩	emmener
amer I	S_0Pred	amertume I
amer I	Anti_∩	doux I
américain Adj II.1	S_0	Amérique 2
américain Adj II.1	Syn_∩	états-unien Adj I
amertume II	Syn_∩	aigreur II
amertume II	Syn_∩	rabat-joie N, masc II
ami N I.1	Anti_∩	ennemi N I
ami N I.1	Syn_⊃^sex	amie I.1
ami N I.1	A_0	amical I.1
ami N I.1	Magn	bon Adj II.2
ami N I.1	Magn	grand Adj III.2
ami N I.1	Magn	vrai Adj III
ami N I.1	Magn	meilleur Adj II
ami N I.1	Magn	intime Adj II.1
ami N I.1	Magn	proche Adj III.1a
ami N I.1	Syn_∩	copain 1
ami N I.1	Syn_∩	pote N, masc
ami N I.1	Syn_∩	connaissance III.2
ami N I.1	Magn_comportement	dévoué
ami N I.1	Magn_comportement	inséparable II
ami N I.1	Magn^temp	vieux Adj II
ami N I.1	Magn^temp	de longue date
ami N I.1	Magn^temp	de toujours
ami N I.1	Ver	véritable II
ami N I.1	Ver	sincère II
ami N I.1	Ver	fidèle Adj I.a
ami N I.1	Ver	loyal
ami N I.1	Ver	fiable
ami N I.1	Ver	sûr II
ami N I.1	Oper_12	être V IV.1
ami N I.1	Oper_2	avoir V II
ami N I.1	Oper_2	posséder II.1
ami N I.1	Caus_2Oper_2	se faire I
ami N I.1	Caus_2Oper_2	trouver II
ami N I.1	Caus_2Oper_2	se trouver II
ami N I.1	IncepOper_12	devenir 2
ami N I.1	Labor_21	avoir V II
ami N I.1	FinOper_2	perdre II.2
ami N I.1	Caus_2Labor_21	prendre II.2
ami N I.1	Magn_2^quant	notre _N à tous
ami N I.1	A_1	ami Adj I
ami N I.1	S_0Pred	amitié
amour I.1a	V_0	aimer I.1
amour I.1a	Gener	sentiment 1a
amour I.1a	Mult	amours I.1b
amour I.1a	Adv_0	d’amour I
amour I.1a	S_2	amour II.1
amour I.1a	Cf	Vénus I
amoureux Adj I.1	IncepPred	devenir 2
amoureux Adj I.1	IncepPred	tomber V IV.2b
amoureux Adj I.1	IncepPred	s’amouracher
amoureux Adj I.1	S_1	amoureux N I
amoureux Adj I.1	S_1	amoureuse I
ampoule I.2	Redun	électrique a
amuser I	S_0	amusement
amuser I	Able_1	amusant
amuser I	A_2Perf	amusé
amuser I	Conv_21	s’amuser II
an a	Syn_∩	année 1a
analogie a	A_0	analogique 1
analogie a	Syn_∩	comparaison 1
analogie a	Syn_∩	association I
analogie a	Syn_∩	lien II.1
analogie a	Syn_∩	relation I.1
analogie a	Syn_∩	parallèle N, masc
analogie a	Syn_∩	rapprochement II
analogie a	Cf	métaphore
analogie a	Magn	singulier Adj I
analogie a	Magn	saisissant
analogie a	Magn	évident
analogie a	Magn	remarquable
analogie a	AntiMagn	vague Adj I
analogie a	AntiVer	trompeur
analogie a	AntiVer	faux Adj I
analogie a	AntiVer	fallacieux
analogie a	AntiVer	douteux
analogie a	AntiVer	boiteux Adj II
analogie a	Instr	par II.1
analogie a	FinFunc_0	s’arrêter IV.1
analogie a	Caus_1Func_0	trouver I.2
analogie a	Caus_1Func_0	constater
analogie a	Caus_1Func_0	noter III
analogie a	Func_23	exister I.1
analogie a	Syn_⊃	métaphore
analogie a	Syn_⊃	image III
analogie a	Syn_⊃	association d’idées
analogie a	Anti_∩	différence 1
analogie a	Anti_∩	contraste
analogie a	Anti_∩	opposition II
analogie a	Anti_∩	contradiction II
analogie a	S_2/3	analogue N a
analogie a	S_2/3	analogon
analogie a	Ver	pertinent
analogie a	Ver	intéressant
analogie a	Oper_123	faire II.1
analogie a	Oper_123	tracer II
analogie a	Oper_123	établir III
analogie a	Oper_2/3	offrir III
analogie a	Oper_2/3	présenter III
analogie a	A_2/3	analogue Adj a
analogie a	Syn_⊂	analogie b
analogie a	Syn_⊂	similarité
analyser 2	S_1	analyseur 1
analyser 2	S_1	analyste N, masc
analyser 2	S_1	analyste N, fém
analyser 2	S_2	analysant
ananas I	Gener	fruit I.2
ananas I	S_loc	ananas II
anarchie I	A_0	anarchique 1
anarchie I	CausFunc_0	instaurer
ancien Adj II	Adv_0	anciennement
ancien Adj II	Anti_∩	prochain Adj III
ancien Adj II	Anti_∩	nouveau Adj III
ancien Adj II	Syn_∩	précédent Adj I.3
ancien Adj II	Syn_∩	ex-
ancien Adj II	Contr	actuel
âne I	Syn	baudet
âne I	Syn	bourricot
âne I	Syn	bourriquet
âne I	Syn	bourrique
âne I	Syn_⊃^sex	ânesse
âne I	Mult_∩	cheptel
âne I	A_0	asin
âne I	A_0	asinien
âne I	Cf	mule
âne I	Son	braire I
âne I	S_0Son	braiment I
âne I	EnunSon	hi-han
âne I	Gener	animal N I.1a
âne I	Gener	ongulés
ange I	A_0	angélique 1
ange I	Contr	démon
Anglais N I	Syn_⊃^sex	Anglaise I
Anglais N I	Syn_∩	Britannique N, masc
Anglais N I	Syn_∩	Angliche N, masc I
angle I.1a	A_0	angulaire
angoisse	V_0	angoisser 2
angoisse	V_0	s’angoisser
angoisse	S_1^usual	angoissé N
angoisse	S_1^usual	angoissée
angoisse	A_1	saisi
angoisse	A_1	en proie
angoisse	A_1	angoissé Adj 1
angoisse	A_2	angoissant 1
angoisse	Able_1	angoissé Adj 2
angoisse	Able_2	angoissant 2
angoisse	Syn_∩	crainte 1
angoisse	Syn_∩	peur 1a
angoisse	Syn_∩	phobie 1
angoisse	Manif	se peindre
animal N I.1b	A_0∩	animal Adj I
animal N I.1b	Contr	Homme 1b
animer I	S_0	animation 1
animer I	A_2Perf	animé II
année 1a	Syn_∩	an a
année 1a	Syn_⊃	année 2a
année 1a	Gener	période 1
année 1a	AntiBon	sans I.3b
anniversaire 1	Cf	fête I.2
annoncer I	S_0	annonce I
annoncer I	Syn_∩	notifier a
annuler	S_0	annulation
annuler	Able_2	annulable
annuler	Syn_∩	casser V
annuler	Syn_∩	invalider
anomalie	Syn_∩	irrégularité
anonyme Adj I	S_1Pred	anonyme N, fém
anonyme Adj I	S_1Pred	anonyme N, masc
anonyme Adj I	Adv_0	anonymement
anonyme Adj I	S_0Pred	anonymat
anormal Adj	Anti	normal I.1
anormal Adj	S_0Pred	anormalité
anormal Adj	Adv_0	anormalement
antenne II.1	Syn_⊃	capteur
antenne II.1	Syn_⊃	récepteur N
antenne II.1	Syn_⊃	émetteur N II
antenne II.1	Redun_⊃	émetteur Adj II
antenne II.1	Redun_⊃	récepteur Adj
antenne II.1	CausFunc_0	poser II
antenne II.1	CausFunc_0	installer II.1
antenne II.1	S_1CausFact_0	installateur
antenne II.1	S_1CausFact_0	installatrice
antenne II.1	Real_2	utiliser I.1
antenne II.1	CausFact_1	orienter I
antenne II.1	Fact_0	capter
antenne II.1	Fact_0	recevoir II
antenne II.1	Fact_0	émettre II.3
antenne II.1	S_1	radio 1 II
antenne II.1	S_1	télévision II
antenne II.1	Labreal_13	émettre II.3
antenne II.1	Labreal_13	capter
antenne II.1	Prepar	déployer
anxiété	S_1^usual	anxieux N
anxiété	S_1^usual	anxieuse
anxiété	A_1	anxieux Adj 1
anxiété	Able_1	anxieux Adj 2
anxiété	Able_2	anxiogène
anxiété	Adv_1	anxieusement
anxiété	Manif	se peindre
août	Gener	mois b
apaiser 3	S_0	apaisement 2
apaiser 3	Able_1	apaisant
apercevoir	Syn_⊂	voir I.1
apéritif N I	Syn	apéro I
apéritif N I	A_0	apéritif Adj
apéritif N I	Gener	boisson I
apéritif N I	Gener	boisson alcoolisée
apparaître I.a	A_1∩	visible
appareil I.1	Mult	appareillage
appareil I.1	Syn_∩	machine 1
apparence I.2	Adv_0	en Prép II.a
apparence I.2	Syn_⊃	figure humaine I
apparent III	Adv_0	en apparence
apparent III	Adv_0	apparemment 1
appartement 1	Gener	habitation II
appartement 1	Hypo	meublé N
appartement 1	Hypo	penthouse
appartement 1	Hypo	garçonnière
appartement 1	Hypo	studio 1
appartement 1	Hypo	loft
appartement 1	Hypo	duplex
appartement 1	Hypo	triplex
appartement 1	Hypo	quadruplex
appartement 1	Hypo	une-pièce
appartement 1	Hypo	F1
appartement 1	Hypo	T1
appartement 1	Hypo	deux-pièces 2
appartement 1	Hypo	F2
appartement 1	Hypo	T2
appartement 1	Hypo	trois-pièces III
appartement 1	Hypo	F3
appartement 1	Hypo	T3
appartement 1	Hypo	quatre-pièces
appartement 1	Hypo	F4
appartement 1	Hypo	T4
appartement 1	Hypo	cinq-pièces
appartement 1	Hypo	F5
appartement 1	Hypo	T5
appartement 1	Hypo	six-pièces
appartement 1	Hypo	F6
appartement 1	Hypo	T6
appartement 1	Hypo	sept-pièces
appartement 1	Hypo	F7
appartement 1	Hypo	T7
appartement 1	Hypo	huit-pièces
appartement 1	Hypo	F8
appartement 1	Hypo	T8
appartement 1	Hypo	neuf-pièces
appartement 1	Hypo	F9
appartement 1	Hypo	T9
appartement 1	Hypo	dix-pièces
appartement 1	Hypo	F10
appartement 1	Hypo	T10
appartement 1	Contr	maison I.1
appartement 1	Mult_∩	immeuble N
appartement 1	Real_1	habiter I
appartement 1	Real_1	résider
appartement 1	Real_1	vivre III.1
appartement 1	Real_1	loger 1
appartement 1	Real_1	occuper II
appartement 1	IncepReal_1	emménager
appartement 1	IncepReal_1	s’installer I
appartement 1	FinReal_1	déménager I.1
appartement 1	S_1	habitant 2
appartement 1	S_1	habitante 2
appartement 1	S_1	occupant N I
appartement 1	S_1	occupante
appartement 1	CausOper_1	prendre II.1
appartement 1	A_1	en Prép I
appartement 1	A_2Real_1	habité 2
appartement 1	A_2Real_1	occupé I.1
appartement 1	A_2NonReal_1	inhabité
appartement 1	A_2NonReal_1	inoccupé 1
appartement 1	A_2NonReal_1	vacant I
appartement 1	A_2NonReal_1	libre III.2
appartement 1	A_2NonReal_1	vide Adj II.2
appartement 1	A_2NonReal_1	disponible
appartement 1	Loc_in	à l’intérieur 1
appartement 1	Loc_in	dans I.1
appartement 1	Func_2	comprendre II
appartement 1	Func_2	se composer
appartement 1	Func_2	avoir V I.2
appartement 1	Func_2	comporter
appartement 1	Func_2	compter II.1
appartement 1	AntiVer_utilisation	témoin N, masc II.2
appartement 1	Syn	appart
appartement 1	Syn_⊃	clapier II
appartement 1	AntiBon	clapier II
appartenir I	S_0	appartenance I
appartenir I	Conv_21	posséder I
appartenir I	A_1∩	de I
appartenir I	Conv_21∩	avoir V I.1
appartenir I	S_1	propriété II.1
appartenir I	S_1	possession II
appartenir I	S_2	propriétaire N, masc
appartenir I	S_2	propriétaire N, fém
appauvrir	A_1	appauvrissant I
appauvrir	Conv_213	s’appauvrir
appauvrir	A_2Perf	pauvre Adj I
appeler I.2	S_0	appel I.2
appeler I.2	S_3^prototyp	téléphone I
appeler I.2	Syn_∩	téléphoner
appétit	Qual_2	appétissant
appétit	Qual_2	alléchant
appétit	Syn_∩	faim I.1a
appétit	Syn_∩	coup de fourchette
appétit	Caus	exciter I.2
applaudir I	S_0	applaudissements
applaudir I	Able_3	applaudissable
appliquer I	S_0	application I
appliquer I	Able_2	applicable I
apporter I	Syn_∩	amener I
apporter I	S_0	apport I
apprécier I.2	S_0	appréciation
apprendre I.2a	S_0	apprentissage 1
apprendre I.2a	S_1	apprenant
apprendre I.2a	S_1	apprenante
apprendre I.2a	Syn_∩	s’initer
apprendre I.2a	Conv_321	apprendre I.2b
approcher II	Syn_∩	avoisiner
approuver I	S_0	approbation I
approuver I	Syn_∩	adhérer II.1
approuver I	Anti	désapprouver I
approvisionner	S_0	approvisionnement
approvisionner	S_1^usual	approvisionneur
approvisionner	S_1^usual	approvisionneuse
approvisionner	A_2Perf	approvisionné
appuyer I.1	Syn_∩	presser II
après Prép I.1	Anti	avant Prép I.1
après-demain	Contr	avant-hier
araignée	A_0	arachnéen
arbitre N, masc	Fact_2	arbitrer
arbitre N, masc	Syn_⊃^sex	arbitre N, fém
arbre	Mult_⊃	bois I
arbre	Mult_⊃	forêt I
arbre	Syn_⊃	arbuste
arbre	Syn_⊃	arbrisseau
arbre	Mero	branche I
arbre	Mero	tronc I
arbre	Mero	feuille I
arbre	Mero	feuillage
arbre	Mero	couronne II
arbre	AntiMagn	arbuste
arbre	AntiMagn	arbrisseau
arbre	Cf	buisson
argent II	Syn	fric
argent II	Syn	oseille II
argent II	Syn_∩	finance I
arme	Mult	armement II
armée	S_1	militaire N, masc
armée	S_1	militaire N, fém
armer	Anti	désarmer
armer	S_3	arme
armer	S_3	armement II
armer	S_0	armement I
armoire 1	Syn_∩	bahut I
armoire 1	Syn_∩	buffet I
armoire 1	Syn_∩	placard 1 I
armoire 1	Gener	meuble N I.1b
armoire 1	Labreal_12	mettre I.1a
armoire 1	Labreal_12	ranger II.1
armoire 1	Labreal_12	stocker I
armoire 1	Loc_in	dans I.1
armoire 1	Loc_in	à l’intérieur 1
armoire 1	Loc_in	fond IV.1
armoire 1	AntiLabreal_12	prendre I.1
armoire 1	AntiLabreal_12	sortir II.1a
armoire 1	Magn_taille	grand Adj I.1
armoire 1	Magn_taille	gros Adj III.2
armoire 1	Magn_taille	armoire à glace I
armoire 1	Magn_taille	armoire normande I
armoire 1	A_1Fact_0	plein Adj I.1
armoire 1	A_1Fact_0	rempli I
armoire 1	A_1NonFact_0	vide Adj II.2
armoire 1	A_1NonFact_0	libre I
armoire 1	Real_1	remplir I.1
armoire 1	AntiReal_1	vider I.1
armoire 1	AntiReal_1	libérer II
armoire 1	$2=‘médicaments	pharmacie III
armoire 1	$2=‘affaires	toilette I.1a
armoire 1	Syn_⊃	armoire à glace I
armoire 1	Syn_⊃	armoire normande I
armoire 1	Magn_2^quant	déborder II.2
arracher I.1	S_0	arrachage 1
arracher I.1	S_1	arracheur I
arracher I.1	Able_2	arrachable
arracher I.1	S_3	arracheuse
arranger I.a	S_res	arrangement I
arrêter I	Anti	démarrer I.2
arrêter I	Result_2	s’arrêter I.1
arrêter I	S_0	arrêt I.2
arrêter I	Syn_∩	immobiliser
arrière N, masc I	Anti	avant N II
arrière N, masc I	A_0	arrière Adj I
arriver I.1	S_0	arrivée I.a
arriver I.1	individu	arrivant
arriver I.1	individu	arrivante
arriver I.1	Syn_∩	atteindre IV.1
arriver I.1	Syn_∩	parvenir I
arriver I.1	Syn_∩	venir I.a
arriver I.1	Anti_∩	quitter II.1a
arriver I.1	Contr	partir 1 I.1a
art I	A_0	artistique
art I	Adv_0	artistiquement
art I	S_1^usual	artiste N, masc
art I	S_1^usual	artiste N, fém
article I.3	S_1^prototyp	journaliste N, masc
article I.3	S_1^prototyp	journaliste N, fém
artificiel	Anti	naturel
artificiel	Adv_0	artificiellement
ascenseur	Instr	en Prép IV.1
ascenseur	Instr	par I
asiatique Adj 1	S_0	Asie
aspect II	Syn_∩	visage II.2
aspirateur N I.1	Gener	appareil I.1
aspirateur N I.1	Gener	appareil électroménager
aspirateur N I.1	Magn_puissance	gros Adj III.2
aspirateur N I.1	Magn_puissance	puissant Adj II.1
aspirateur N I.1	Real_13	passer VII.1
aspirateur N I.1	Fact_2	aspirer 1 I.3c
aspirateur N I.1	Fact_2	avaler III
aspirateur N I.1	Fact_2	absorber II.2
aspirateur N I.1	Mero	brosse I.3
aspirateur N I.1	Mero	suceur
aspirateur N I.1	Mero	tuyau I.1
aspirateur N I.1	Mero	sac 2
aspirateur N I.1	Mero	fil II
aspirateur N I.1	Caus_1Fact_0	brancher
aspirateur N I.1	Caus_1Fact_0	allumer II.2
aspirateur N I.1	Liqu_1Fact_0	éteindre II.2
aspirateur N I.1	Liqu_1Fact_0	arrêter II
aspirateur N I.1	Liqu_1Fact_0	débrancher I
aspirateur N I.1	S_2^prototyp	poussière 1
aspirateur N I.1	Labreal_12	aspirer 1 I.3b
aspirateur N I.1	Son	vrombir
